Unique ID,Unique Lake,sampledate,sample year,deepth sample,Value Flags TURB,TURB (NTU)
CAN104716,CAN10233,23/08/2006,NA,0,NA,0.66
CAN104718,CAN10235,06/11/2002,NA,0,NA,0.88
CAN104721,CAN10237,08/09/2005,NA,0,NA,0.58
CAN104722,CAN10238,29/08/2000,NA,0,NA,0.63
CAN104725,CAN10241,09/08/1996,NA,0,NA,0.8
CAN104726,CAN10242,31/08/2016,NA,4.8,NA,1.67
CAN104727,CAN10242,30/08/2018,NA,0,NA,0.9
CAN104728,CAN10242,30/08/2017,NA,0,NA,0.8
CAN104730,CAN10242,25/08/2015,NA,0,NA,0.76
CAN104731,CAN10242,30/08/2017,NA,6,NA,6.18
CAN104732,CAN10242,27/08/2008,NA,0,NA,2.47
CAN104733,CAN10242,31/08/2016,NA,0,NA,1.24
CAN104734,CAN10242,25/08/2015,NA,5,NA,11.6
CAN104735,CAN10242,24/08/2014,NA,6.5,NA,8.31
CAN104736,CAN10242,14/08/2008,NA,0,NA,2.6
CAN104737,CAN10242,24/08/2014,NA,0,NA,5.56
CAN104739,CAN10243,14/08/2003,NA,0,NA,0.45
CAN104741,CAN10245,06/08/2006,NA,9,NA,6.82
CAN104742,CAN10246,11/09/2014,NA,0,NA,1.95
CAN104743,CAN10247,05/11/1990,NA,0,NA,1.5
CAN104744,CAN10247,24/07/1990,NA,0,NA,1.05
CAN104745,CAN10247,08/08/1996,NA,0,NA,0.6
CAN104746,CAN10248,06/09/2006,NA,0,NA,0.55
CAN104748,CAN10250,26/02/1997,NA,0,NA,4.9
CAN104749,CAN10250,02/12/1996,NA,0,NA,5.1
CAN104750,CAN10250,17/11/1997,NA,0,NA,2.5
CAN104751,CAN10250,13/05/1997,NA,0,NA,3.4
CAN104752,CAN10250,11/09/1996,NA,0,NA,0.9
CAN104753,CAN10251,13/05/1997,NA,0,NA,1.5
CAN104754,CAN10251,17/11/1997,NA,0,NA,2.9
CAN104755,CAN10251,02/12/1996,NA,0,NA,0.6
CAN104756,CAN10251,11/09/1996,NA,0,NA,0.05
CAN104757,CAN10251,26/02/1997,NA,0,NA,1.1
CAN104758,CAN10251,13/05/1997,NA,0,NA,1.6
CAN104759,CAN10251,26/02/1997,NA,0,NA,0.6
CAN104760,CAN10251,11/09/1996,NA,0,NA,0.05
CAN104761,CAN10251,01/09/1998,NA,0,NA,0.82
CAN104762,CAN10252,31/07/1996,NA,0,NA,0.6
CAN104763,CAN10253,17/10/1990,NA,0,NA,0.67
CAN104764,CAN10253,22/09/1990,NA,0,NA,0.74
CAN104765,CAN10253,15/07/1990,NA,0,NA,0.41
CAN104766,CAN10254,15/07/2014,NA,5,NA,1.25
CAN104767,CAN10254,06/06/1990,NA,0,NA,1.4
CAN104768,CAN10254,15/07/2014,NA,0,NA,1.18
CAN104769,CAN10254,07/08/1996,NA,0,NA,0.6
CAN104770,CAN10254,23/09/1998,NA,0,NA,0.48
